gen 1,gen 2,gen 3,gen 4,gen 5,gen 6,gen 7,gen 8,gen 9,gen 10,csp generation,discharge,charge,Demands
176.290665108292,176.290665108292,176.290665108292,176.290665108292,176.290665108292,176.290665108292,176.290665108292,176.290665108292,176.290665108292,176.290665108292,0,0,186.277764162626,1576.62888692029
176.40550841334,176.40550841334,176.40550841334,176.40550841334,176.40550841334,176.40550841334,176.40550841334,176.40550841334,176.40550841334,176.40550841334,0,0,249.298034857214,1514.75704927618
176.520420665739,176.520420665739,176.520420665739,176.520420665739,176.520420665739,176.520420665739,176.520420665739,176.520420665739,176.520420665739,176.520420665739,0,0,285.707272507132,1479.49693415026
176.635401906883,176.635401906883,176.635401906883,176.635401906883,176.635401906883,176.635401906883,176.635401906883,176.635401906883,176.635401906883,176.635401906883,0,0,339.357380472681,1426.99663859615
176.75045217819,176.75045217819,176.75045217819,176.75045217819,176.75045217819,176.75045217819,176.75045217819,176.75045217819,176.75045217819,176.75045217819,0,0,361.398095224026,1406.10642655787
176.865571521103,176.865571521103,176.865571521103,176.865571521103,176.865571521103,176.865571521103,176.865571521103,176.865571521103,176.865571521103,176.865571521103,0,0,314.660030197952,1453.99568501308
176.210109573411,176.210109573411,176.210109573411,176.210109573411,176.210109573411,176.210109573411,176.210109573411,176.210109573411,176.210109573411,176.210109573411,0,0,0,1762.10109573411
238.656758513023,238.656758513023,238.656758513023,238.656758513023,238.656758513023,238.656758513023,238.656758513023,238.656758513023,238.656758513023,238.656758513023,0,0,0,2386.56758513023
243.475062891357,243.475062891357,243.475062891357,243.475062891357,243.475062891357,243.475062891357,243.475062891357,243.475062891357,243.475062891357,243.475062891357,0,420.370329447271,0,2855.12095836084
243.630241035978,243.630241035978,243.630241035978,243.630241035978,243.630241035978,243.630241035978,243.630241035978,243.630241035978,243.630241035978,243.630241035978,0,431.377439708759,0,2867.67985006854
243.785512343384,243.785512343384,243.785512343384,243.785512343384,243.785512343384,243.785512343384,243.785512343384,243.785512343384,243.785512343384,243.785512343384,0,133.801211588694,0,2571.65633502254
241.995744675314,241.995744675314,241.995744675314,241.995744675314,241.995744675314,241.995744675314,241.995744675314,241.995744675314,241.995744675314,241.995744675314,0,0,0,2419.95744675314
188.911015573295,188.911015573295,188.911015573295,188.911015573295,188.911015573295,188.911015573295,188.911015573295,188.911015573295,188.911015573295,188.911015573295,0,0,0,1889.11015573295
182.03143320936,182.03143320936,182.03143320936,182.03143320936,182.03143320936,182.03143320936,182.03143320936,182.03143320936,182.03143320936,182.03143320936,0,0,428.791252243422,1391.52307985018
166.354252470106,166.354252470106,166.354252470106,166.354252470106,166.354252470106,166.354252470106,166.354252470106,166.354252470106,166.354252470106,166.354252470106,0,0,475.000000000003,1188.54252470106
182.268083893522,182.268083893522,182.268083893522,182.268083893522,182.268083893522,182.268083893522,182.268083893522,182.268083893522,182.268083893522,182.268083893522,0,0,378.372780218195,1444.30805871702
183.559033132195,183.559033132195,183.559033132195,183.559033132195,183.559033132195,183.559033132195,183.559033132195,183.559033132195,183.559033132195,183.559033132195,0,0,0,1835.59033132195
210.836842900461,210.836842900461,210.836842900461,210.836842900461,210.836842900461,210.836842900461,210.836842900461,210.836842900461,210.836842900461,210.836842900461,0,0,0,2108.36842900461
235.456779312191,235.456779312191,235.456779312191,235.456779312191,235.456779312191,235.456779312191,235.456779312191,235.456779312191,235.456779312191,235.456779312191,0,0,0,2354.56779312191
245.187155675082,245.187155675082,245.187155675082,245.187155675082,245.187155675082,245.187155675082,245.187155675082,245.187155675082,245.187155675082,245.187155675082,0,449.411638693635,0,2901.28319544445
452.289751743452,452.289751743452,452.289751743452,404.524848733664,404.524848733664,452.289751743452,452.289751743452,452.289751743452,452.289751743452,452.289751743452,0,475.000000000003,0,4902.36771141494
376.058384835949,376.058384835949,376.058384835949,376.058384835949,376.058384835949,376.058384835949,376.058384835949,376.058384835949,376.058384835949,376.058384835949,0,475.000000000003,0,4235.5838483595
276.216564756584,276.216564756584,276.216564756584,276.216564756584,276.216564756584,276.216564756584,276.216564756584,276.216564756584,276.216564756584,276.216564756584,0,475.000000000003,0,3237.16564756584
208.277390524389,208.277390524389,208.277390524389,208.277390524389,208.277390524389,208.277390524389,208.277390524389,208.277390524389,208.277390524389,208.277390524389,0,0,0,2082.77390524389
173.272320632884,173.272320632884,173.272320632884,173.272320632884,173.272320632884,173.272320632884,173.272320632884,173.272320632884,173.272320632884,173.272320632884,0,0,179.490244125141,1553.2329622037
173.385351843991,173.385351843991,173.385351843991,173.385351843991,173.385351843991,173.385351843991,173.385351843991,173.385351843991,173.385351843991,173.385351843991,0,0,140.615248811981,1593.23826962793
173.49845091454,173.49845091454,173.49845091454,173.49845091454,173.49845091454,173.49845091454,173.49845091454,173.49845091454,173.49845091454,173.49845091454,0,0,250.796176601616,1484.18833254378
173.611617885271,173.611617885271,173.611617885271,173.611617885271,173.611617885271,173.611617885271,173.611617885271,173.611617885271,173.611617885271,173.611617885271,0,0,322.375741283093,1413.74043756961
173.724852796949,173.724852796949,173.724852796949,173.724852796949,173.724852796949,173.724852796949,173.724852796949,173.724852796949,173.724852796949,173.724852796949,0,0,359.753123204473,1377.49540476502
173.838155690363,173.838155690363,173.838155690363,173.838155690363,173.838155690363,173.838155690363,173.838155690363,173.838155690363,173.838155690363,173.838155690363,0,0,310.873631954123,1427.50792494951
176.991649539467,176.991649539467,176.991649539467,176.991649539467,176.991649539467,176.991649539467,176.991649539467,176.991649539467,176.991649539467,176.991649539467,0,0,0,1769.91649539467
233.769691560103,233.769691560103,233.769691560103,233.769691560103,233.769691560103,233.769691560103,233.769691560103,233.769691560103,233.769691560103,233.769691560103,0,119.937599413704,0,2457.63451501473
233.919042985895,233.919042985895,233.919042985895,233.919042985895,233.919042985895,233.919042985895,233.919042985895,233.919042985895,233.919042985895,233.919042985895,0,438.297099228773,0,2777.48752908772
234.06848407634,234.06848407634,234.06848407634,234.06848407634,234.06848407634,234.06848407634,234.06848407634,234.06848407634,234.06848407634,234.06848407634,0,435.377084037634,0,2776.06192480104
234.218014885272,234.218014885272,234.218014885272,234.218014885272,234.218014885272,234.218014885272,234.218014885272,234.218014885272,234.218014885272,234.218014885272,0,131.776850182928,0,2473.95699903564
234.367635466552,234.367635466552,234.367635466552,234.367635466552,234.367635466552,234.367635466552,234.367635466552,234.367635466552,234.367635466552,234.367635466552,0,59.1229407279092,0,2402.79929539343
191.022596969566,191.022596969566,191.022596969566,191.022596969566,191.022596969566,191.022596969566,191.022596969566,191.022596969566,191.022596969566,191.022596969566,0,0,0,1910.22596969566
140.866836456616,140.866836456616,140.866836456616,140.866836456616,140.866836456616,140.866836456616,140.866836456616,140.866836456616,140.866836456616,140.866836456616,0,0,0,1408.66836456616
131.290162383492,131.290162383492,131.290162383492,131.290162383492,131.290162383492,131.290162383492,131.290162383492,131.290162383492,131.290162383492,131.290162383492,0,0,336.525205305383,976.376418529535
125.282021583003,125.282021583003,125.282021583003,125.282021583003,125.282021583003,125.282021583003,125.282021583003,125.282021583003,125.282021583003,125.282021583003,0,0,475.000000000003,777.82021583003
120.347875731602,120.347875731602,120.347875731602,120.347875731602,120.347875731602,120.347875731602,120.347875731602,120.347875731602,120.347875731602,120.347875731602,0,0,475.000000000003,728.478757316015
121.082774797172,121.082774797172,121.082774797172,121.082774797172,121.082774797172,121.082774797172,121.082774797172,121.082774797172,121.082774797172,121.082774797172,0,0,475.000000000003,735.827747971721
120.945419419212,120.945419419212,120.945419419212,120.945419419212,120.945419419212,120.945419419212,120.945419419212,120.945419419212,120.945419419212,120.945419419212,0,0,475.000000000003,734.454194192118
131.729823944801,131.729823944801,131.729823944801,131.729823944801,131.729823944801,131.729823944801,131.729823944801,131.729823944801,131.729823944801,131.729823944801,0,0,267.331450059411,1049.9667893886
152.3627258744,152.3627258744,152.3627258744,152.3627258744,152.3627258744,152.3627258744,152.3627258744,152.3627258744,152.3627258744,152.3627258744,0,0,0,1523.627258744
199.358696921419,199.358696921419,199.358696921419,199.358696921419,199.358696921419,199.358696921419,199.358696921419,199.358696921419,199.358696921419,199.358696921419,0,160.860881291076,0,2154.44785050527
198.091880787099,198.091880787099,198.091880787099,198.091880787099,198.091880787099,198.091880787099,198.091880787099,198.091880787099,198.091880787099,198.091880787099,0,0,0,1980.91880787099
173.290183805772,173.290183805772,173.290183805772,173.290183805772,173.290183805772,173.290183805772,173.290183805772,173.290183805772,173.290183805772,173.290183805772,0,0,0,1732.90183805772
164.869293761789,164.869293761789,164.869293761789,164.869293761789,164.869293761789,164.869293761789,164.869293761789,164.869293761789,164.869293761789,164.869293761789,0,0,0,1648.69293761789
154.163377556857,154.163377556857,154.163377556857,154.163377556857,154.163377556857,154.163377556857,154.163377556857,154.163377556857,154.163377556857,154.163377556857,0,0,0,1541.63377556857
148.402228450451,148.402228450451,148.402228450451,148.402228450451,148.402228450451,148.402228450451,148.402228450451,148.402228450451,148.402228450451,148.402228450451,0,0,78.9859139638351,1405.03637054067
148.500328647639,148.500328647639,148.500328647639,148.500328647639,148.500328647639,148.500328647639,148.500328647639,148.500328647639,148.500328647639,148.500328647639,0,0,79.6606070562035,1405.34267942019
148.598487740283,148.598487740283,148.598487740283,148.598487740283,148.598487740283,148.598487740283,148.598487740283,148.598487740283,148.598487740283,148.598487740283,0,0,65.7353601706665,1420.24951723217
147.722977181041,147.722977181041,147.722977181041,147.722977181041,147.722977181041,147.722977181041,147.722977181041,147.722977181041,147.722977181041,147.722977181041,0,0,0,1477.22977181041
177.135895960488,177.135895960488,177.135895960488,177.135895960488,177.135895960488,177.135895960488,177.135895960488,177.135895960488,177.135895960488,177.135895960488,0,0,0,1771.35895960488
211.217115178079,211.217115178079,211.217115178079,211.217115178079,211.217115178079,211.217115178079,211.217115178079,211.217115178079,211.217115178079,211.217115178079,0,256.726187629549,0,2368.89733941034
256.882816030937,256.882816030937,256.882816030937,256.882816030937,256.882816030937,256.882816030937,256.882816030937,256.882816030937,256.882816030937,256.882816030937,0,475.000000000003,0,3043.82816030937
235.275383202539,235.275383202539,235.275383202539,235.275383202539,235.275383202539,235.275383202539,235.275383202539,235.275383202539,235.275383202539,235.275383202539,0,475.000000000003,0,2827.75383202539
214.436713124053,214.436713124053,214.436713124053,214.436713124053,214.436713124053,214.436713124053,214.436713124053,214.436713124053,214.436713124053,214.436713124053,0,475.000000000003,0,2619.36713124053
211.760851614406,211.760851614406,211.760851614406,211.760851614406,211.760851614406,211.760851614406,211.760851614406,211.760851614406,211.760851614406,211.760851614406,0,212.633066661193,0,2330.24158280525
196.727523201769,196.727523201769,196.727523201769,196.727523201769,196.727523201769,196.727523201769,196.727523201769,196.727523201769,196.727523201769,196.727523201769,0,0,0,1967.27523201769
145.220346940892,145.220346940892,145.220346940892,145.220346940892,145.220346940892,145.220346940892,145.220346940892,145.220346940892,145.220346940892,145.220346940892,0,0,0,1452.20346940891
128.506649886539,128.506649886539,128.506649886539,128.506649886539,128.506649886539,128.506649886539,128.506649886539,128.506649886539,128.506649886539,128.506649886539,0,0,330.05185706541,955.014641799983
122.590970181303,122.590970181303,122.590970181303,122.590970181303,122.590970181303,122.590970181303,122.590970181303,122.590970181303,122.590970181303,122.590970181303,0,0,475.000000000003,750.909701813027
122.422838203984,122.422838203984,122.422838203984,122.422838203984,122.422838203984,122.422838203984,122.422838203984,122.422838203984,122.422838203984,122.422838203984,0,0,475.000000000003,749.228382039833
121.728157961804,121.728157961804,121.728157961804,121.728157961804,121.728157961804,121.728157961804,121.728157961804,121.728157961804,121.728157961804,121.728157961804,0,0,475.000000000003,742.281579618033
120.09863222721,120.09863222721,120.09863222721,120.09863222721,120.09863222721,120.09863222721,120.09863222721,120.09863222721,120.09863222721,120.09863222721,0,0,475.000000000003,725.986322272095
128.937945858322,128.937945858322,128.937945858322,128.937945858322,128.937945858322,128.937945858322,128.937945858322,128.937945858322,128.937945858322,128.937945858322,0,0,273.785401544741,1015.59405703848
174.997034474156,174.997034474156,174.997034474156,174.997034474156,174.997034474156,174.997034474156,174.997034474156,174.997034474156,174.997034474156,174.997034474156,0,0,0,1749.97034474156
211.467636166704,211.467636166704,211.467636166704,211.467636166704,211.467636166704,211.467636166704,211.467636166704,211.467636166704,211.467636166704,211.467636166704,0,0,0,2114.67636166704
236.117389996316,236.117389996316,236.117389996316,236.117389996316,236.117389996316,236.117389996316,236.117389996316,236.117389996316,236.117389996316,236.117389996316,0,0,0,2361.17389996316
206.378605097186,206.378605097186,206.378605097186,206.378605097186,206.378605097186,206.378605097186,206.378605097186,206.378605097186,206.378605097186,206.378605097186,0,0,0,2063.78605097186
240.176901509402,240.176901509402,240.176901509402,240.176901509402,240.176901509402,240.176901509402,240.176901509402,240.176901509402,240.176901509402,240.176901509402,0,240.854504911159,0,2642.62352000518
179.050875672549,179.050875672549,179.050875672549,179.050875672549,179.050875672549,179.050875672549,179.050875672549,179.050875672549,179.050875672549,179.050875672549,0,0,87.5552447032092,1702.95351202228
